voucher_id,voucher_type,entry_date,posting_date,amount,leading_digit,vendor_name,created_by,approved_by,invoice_no,tax,total,reference,supporting_doc,risk_flags,risk_score,is_fraud
27,Payment,2026-02-22 06:09:43.999157,2026-02-22 06:09:43.999157,24000,2,Apex Tech Ltd,32,86,be5bf11c-d577-402c-8f28-710ed257e10a,4320.0,28320.0,844800fc-aeb2-44d1-b562-5e777aa3110f,Invoice,Rounded Amount,1.0,0
28,Receipt,2026-02-18 22:36:03.020041,2026-02-18 22:36:03.020041,228568,2,BlueStar Traders LTD,78,93,9bf5d65d-438a-440a-a241-92874d02f4ef,41142.24,269710.24,7e26ede8-8176-479c-97f9-1fbf952554b6,Contract,High Value,1.19,0
29,Receipt,2026-03-01 20:12:56.157060,2026-03-01 20:12:56.157060,15290,1,Om Sai Traders Ltd,80,44,64b47d6b-6f3b-41e2-903a-3a0c6f0b4b36,2752.2,18042.2,525d4344-69f5-4f65-bc02-6d197a2148df,Invoice,Normal,0.0,0
30,Journal,2026-01-20 01:56:59.000352,2026-01-20 09:56:59.000352,18101,1,Apex Solutions LLP,64,56,0cee31c1-def1-485b-ae4f-85c1cf644d02,3258.18,21359.18,acc1aa93-23fa-445f-b579-b478c5a49981,None,"Odd Timing,Missing Doc",2.96,1
31,Payment,2026-02-16 01:41:21.695001,2026-02-16 01:41:21.695001,21641,2,Apex Tech Ltd,45,49,011d0a70-589a-4ff4-9f5a-5bb8b2f20633,3895.38,25536.38,aeec8c37-c369-41f3-a0e3-ace55979ade1,Invoice,Normal,0.0,0
32,Payment,2026-01-22 06:40:50.797163,2026-01-22 06:40:50.797163,38848,3,Shree Enterprises LLP,82,65,0fd5a576-cb0f-45e2-b138-6ec7a469d808,6992.64,45840.64,f4928d8a-198c-4eba-b206-406c7924cb70,Contract,Normal,0.0,0
33,Payment,2026-02-01 13:08:38.951315,2026-02-01 13:08:38.951315,16687,1,Green Traders Pvt Ltd,9,41,87fd1840-5229-491d-9c7c-ebfbe1c4288e,3003.66,19690.66,0d16cc7f-727c-4060-9570-141c79fe6179,Invoice,Normal,0.0,0
34,Journal,2026-02-12 06:47:06.846853,2026-02-12 06:47:06.846853,45188,4,Shree Solutions Ltd,63,45,79c5b14f-730b-4c98-90f4-f77153fe6156,8133.84,53321.84,43cf9213-27be-4455-92f8-725844053290,None,Missing Doc,0.86,0
35,Payment,2026-02-07 12:34:18.197142,2026-02-07 12:34:18.197142,34481,3,Om Sai Logistics Ltd,13,25,feb693f3-b8b1-45e8-80f8-ab7740f68baa,6206.58,40687.58,ab465ab1-b996-41ee-bc0e-47348c6e3e1f,Invoice,Normal,0.0,0
36,Payment,2026-03-24 16:13:05.174245,2026-03-24 16:13:05.174245,21000,2,Green Traders Pvt Ltd,53,16,7ce4d8ea-0783-4172-ba13-21494397a156,3780.0,24780.0,2d9a2329-9a70-4f03-9120-ae0d7163f67f,Contract,Rounded Amount,1.45,0
37,Receipt,2026-04-12 07:17:09.552045,2026-04-12 07:17:09.552045,117069,1,Om Sai Traders LLP,7,71,cf342f4f-a6a3-4274-8b11-6ffd03e86233,21072.42,138141.41999999998,f95b59b7-808a-424f-be47-e5eaea7d8d58,Contract,"Rounded Amount,High Value",2.69,1
38,Journal,2026-04-12 00:47:27.740644,2026-04-12 00:47:27.740644,7295,7,,51,53,b0002d2b-dcc7-4ca4-981f-903d3fdaeec4,1313.1,8608.1,788d2892-864c-40d3-91e1-8add2ab6582a,Invoice,Null Vendor,1.35,0
39,Journal,2026-01-27 12:40:44.896540,2026-01-27 12:40:44.896540,25611,2,Green Traders Ltd,19,90,2e64e3a0-ce8b-458a-9cb8-b3d09ad77eaf,4609.98,30220.98,735794e9-a8c1-4326-8ee7-c7b8e97d8b56,None,Missing Doc,1.47,0
40,Payment,2026-01-31 01:07:56.097369,2026-01-31 10:07:56.097369,48002,4,Shree Logistics LLP,43,77,e6fd8381-dc7f-4786-9a74-72c6202f4e01,8640.36,56642.36,55b17d27-bf45-4f22-8427-ff309afd0f40,Invoice,Odd Timing,0.97,0
41,Receipt,2026-01-28 14:29:31.684622,2026-01-28 14:29:31.684622,36159,3,Shree Solutions Pvt Ltd,60,44,cfd3be88,6508.62,42667.62,95f8ab12-9f11-4d31-ab40-ee859e6ba23c,None,"Missing Doc,Duplicate Pattern",1.63,1
42,Payment,2026-02-10 18:25:06.436330,2026-02-10 18:25:06.436330,18395,1,BlueStar Traders Ltd,84,72,691abba9-0a12-4cf8-8de7-91a50aee1e67,3311.1,21706.1,a673f130-4239-498c-8d15-7224c6f32bf7,Contract,Normal,0.0,0
43,Journal,2026-04-07 23:14:23.371728,2026-04-07 23:14:23.371728,41262,4,Shree Logistics Pvt Ltd,78,98,72fd82c4-429c-4da5-836a-8fe91bf5ee55,7427.16,48689.16,804365b5-eb3a-4abb-9d44-55a75fdc9dd0,Invoice,Normal,0.0,0
44,Receipt,2026-01-14 23:34:13.703449,2026-01-14 23:34:13.703449,37000,3,BlueStar Solutions Pvt Ltd,1,69,b085fd0c-15fd-4e19-9899-550384ded3f4,6660.0,43660.0,05430131-7e0b-4212-9a30-1f9638693ff4,Contract,Rounded Amount,1.49,0
45,Payment,2026-03-19 13:57:25.223799,2026-03-19 13:57:25.223799,13730,1,BlueStar Traders LTD,99,47,8a148779-4a09-4e8f-a383-35e638edfc6f,2471.4,16201.4,96d5f139-457c-46b0-8559-55a56291bb85,None,"Missing Doc,Name Variation",1.85,1
46,Receipt,2026-01-16 18:47:14.233396,2026-01-16 18:47:14.233396,48424,4,Om Sai Logistics Pvt LTD,56,96,80ded21c-16c0-4c35-81bb-de93c2e4bc33,10634.343807924954,59058.34380792495,092f6ef3-0d27-44b8-8c65-22879b7041ec,Contract,Tax Mismatch,1.06,0
47,Payment,2026-02-27 08:37:05.857934,2026-02-28 08:37:05.857934,24946,2,Global Tech LLP,71,82,84175679-969c-44e1-b3f0-5dfdadb2a229,4490.28,29436.28,92484150-3d4c-44be-b29c-ec77591dc179,None,"Backdated,Missing Doc",1.65,1
48,Receipt,2026-03-30 19:33:17.207025,2026-03-30 19:33:17.207025,45000,4,Om Sai Logistics Pvt Ltd,18,60,37be1fec-5720-476b-8552-c3304ef8c2fa,8100.0,53100.0,170f7155-1c2b-43cb-89d8-dcc2ffae71ba,Contract,Rounded Amount,1.39,0
49,Journal,2026-03-22 11:00:06.202693,2026-03-22 11:00:06.202693,39979,3,Global Tech Pvt Ltd,13,78,a206e9e9-14a6-4771-b1e5-577b0eb7929c,7196.22,47175.22,6745779d-96e2-45dc-b96a-119d979d7cb8,None,Missing Doc,1.05,0
50,Payment,2026-01-16 20:09:59.654195,2026-01-16 20:09:59.654195,32110,3,Green Enterprises Ltd,4,10,9089e0a2-6c5e-472e-b576-3c7fb0fd7633,5779.8,37889.8,5d7079cf-9d24-43bd-ab71-49b8b53e2655,Contract,Normal,0.0,0
51,Receipt,2026-02-27 06:11:02.004318,2026-02-27 06:11:02.004318,203843,2,Green Logistics Ltd,4,49,fc617486-818b-44d0-8eea-8f83bc07097f,36691.74,240534.74,04691728-37af-4daa-ad9c-22cc100c9597,None,"High Value,Missing Doc",2.4,1
52,Journal,2026-01-12 00:09:14.202639,2026-01-12 00:09:14.202639,44395,4,BlueStar Logistics Ltd,11,86,191764d3-0654-44b9-8bfc-9fb487b5b274,7991.1,52386.1,3b9b6c74-ce8f-46ff-b761-f3f295e94f1f,None,Missing Doc,1.36,0
53,Journal,2026-02-10 22:00:41.169207,2026-02-10 22:00:41.169207,23562,2,Global Tech LLP,78,18,6d5f8718-f4b0-4d4e-9dcc-ef7e7c027752,4241.16,27803.16,605d38de-6283-4f78-a2fb-4376ba1bd01b,Invoice,Normal,0.0,0
54,Receipt,2026-02-23 23:50:14.725348,2026-02-23 23:50:14.725348,14406,1,Green Logistics Ltd,57,23,c23c4ef8-460d-4b3d-86fe-71df8a9f4790,2593.08,16999.08,4ea40810-a974-4d84-934a-0d0c3d7faa2d,Invoice,Normal,0.0,0
55,Payment,2026-02-06 21:15:33.186697,2026-02-06 21:15:33.186697,6398,6,Apex Traders LLP,83,25,9a6b72a4,1151.64,7549.64,cee0d27a-2515-4aaa-94b4-aa35d2f81b0a,None,"Missing Doc,Duplicate Pattern",2.88,1
56,Receipt,2026-03-27 02:21:55.502040,2026-03-27 22:21:55.502040,22914,2,Om Sai Traders Ltd,63,43,13701a57-7c59-4a4d-9380-5f7a182e82a6,4124.52,27038.52,60e6331c-dd93-49f8-a70b-10f8833e9fb2,Invoice,Odd Timing,0.89,0
57,Journal,2026-01-18 19:20:12.463352,2026-01-18 19:20:12.463352,4583,4,BlueStar Solutions Pvt Ltd,92,42,32862a21-e7aa-41b5-abea-f5cbabf909a3,824.94,5407.9400000000005,86cac42e-3b6f-42e4-ab9c-9573d1eaf5b1,Invoice,Normal,0.0,0
58,Journal,2026-02-03 05:06:49.571339,2026-02-03 05:06:49.571339,6243,6,,59,65,5498b8b0-7a16-4ee5-93f0-29163ac5d623,1123.74,7366.74,d3f0964d-49e3-4fb5-8451-e4a380982f4a,None,"Missing Doc,Null Vendor",2.41,1
59,Payment,2026-03-13 02:21:39.226874,2026-03-13 02:21:39.226874,9136,9,Om Sai Tech Pvt LTD,13,17,e298ef83-ce8d-487f-899a-636236825f60,1644.48,10780.48,d924c010-6d83-48b7-b589-ca3ff1b65e50,None,"Missing Doc,Name Variation",1.94,1
60,Receipt,2026-02-07 21:59:30.580083,2026-02-07 21:59:30.580083,22804,2,Green Tech Ltd,59,77,eadd6e65-2dfe-4d7b-9ba3-3650378915e5,2120.3362910308547,24924.336291030853,c0a7f93c-a283-4098-9b5f-2095d36c493f,Contract,Tax Mismatch,1.47,0
61,Journal,2026-04-10 19:51:11.742938,2026-04-10 19:51:11.742938,27562,2,Apex Enterprises Ltd,98,85,a903ac18-3588-4683-8197-8fdcd00608f8,4961.16,32523.16,5051dcff-dd51-4486-86aa-3a4df612a5af,None,Missing Doc,1.3,0
62,Receipt,2026-04-01 03:44:26.722480,2026-04-01 02:44:26.722480,25527,2,BlueStar Traders Pvt Ltd,71,5,8b44fa50-ba41-4c9b-9c02-9fb1dd126048,4594.86,30121.86,2a51e5cc-203f-4f3a-be45-a94c5f90e6f2,Invoice,Odd Timing,1.02,0
63,Journal,2026-03-27 18:01:46.563482,2026-03-27 18:01:46.563482,36481,3,Om Sai Logistics Pvt LTD,23,74,8814d147,6566.58,43047.58,183bab2d-61d7-446b-bb73-f07be39e290e,Invoice,Duplicate Pattern,1.23,0
64,Journal,2026-03-30 03:19:40.332458,2026-03-30 10:19:40.332458,17000,1,Green Logistics Ltd,59,48,8c130ff4-5b4e-45a1-a057-8a319f5b40c9,3060.0,20060.0,91a23171-e2e3-4d10-ace0-75f9bfb9539a,None,"Rounded Amount,Odd Timing,Missing Doc",2.74,1
65,Payment,2026-03-08 14:23:53.218421,2026-03-08 14:23:53.218421,3853,3,Shree Solutions Pvt Ltd,33,66,ae93b958-a572-4051-8769-7047fbf8604e,693.54,4546.54,619a490d-53a9-4157-9012-ba04782aa5bb,Invoice,Normal,0.0,0
66,Receipt,2026-04-13 21:40:58.958530,2026-04-13 21:40:58.958530,44637,4,Apex Logistics LLP,81,49,6b964840-2433-421f-b32e-37cdf77617d1,8034.66,52671.66,981d20ee-8ee4-4e8b-9b3a-07d2189bf970,None,Missing Doc,0.99,0
67,Journal,2026-03-12 07:17:53.197651,2026-03-12 07:17:53.197651,29513,2,Apex Logistics LLP,99,51,472edcac-43a0-450c-9ac2-1ea10f898f4a,5312.34,34825.34,e0590b26-f0ff-43ef-96a9-53e2488a44e5,Invoice,Normal,0.0,0
68,Journal,2026-01-28 18:42:53.216727,2026-01-28 18:42:53.216727,6022,6,Green Enterprises LTD,20,36,0513a173,1020.729029694536,7042.729029694536,d9bc1083-1d8a-4b14-adcf-114ae25acab7,None,"Missing Doc,Duplicate Pattern,Tax Mismatch",2.84,1
69,Payment,2026-03-26 02:57:08.851299,2026-03-28 02:57:08.851299,25265,2,,23,70,1ea66c90-6181-4867-9886-8394d218275d,4547.7,29812.7,870649bd-4b0f-4f61-a2a7-e6c182d9f45a,Invoice,"Odd Timing,Backdated,Null Vendor",2.77,1
70,Payment,2026-01-03 08:36:20.549335,2026-01-03 08:36:20.549335,24763,2,Green Enterprises Pvt Ltd,43,85,b58299e6-f536-4d19-b189-a5ea391dd50b,4457.34,29220.34,678330d3-1343-427c-85e1-cdbe2b797290,Invoice,Normal,0.0,0
71,Receipt,2026-03-08 00:45:11.646842,2026-03-08 00:45:11.646842,25210,2,Shree Solutions Pvt Ltd,49,90,d4656753-c29f-47a9-af7c-cb840c8e259b,4537.8,29747.8,115c9701-c1a4-4c43-a647-b1d13e7d84dc,Contract,Normal,0.0,0
72,Receipt,2026-01-31 22:33:43.557250,2026-01-31 22:33:43.557250,17000,1,Green Tech LLP,41,95,eee101e3-c4a4-426c-b1c9-f3bd76d82d81,3060.0,20060.0,b4ee8d95-387c-4fe5-88ba-b67057d604e5,Contract,Rounded Amount,0.82,0
73,Receipt,2026-03-10 13:03:35.522336,2026-03-10 13:03:35.522336,14052,1,Apex Tech Ltd,70,83,13bd41d3-1865-4630-9e50-130e87e3257b,2529.36,16581.36,80631492-48df-429c-b0ec-17a5304fcf7f,Contract,Normal,0.0,0
74,Payment,2026-01-14 17:19:14.181315,2026-01-14 17:19:14.181315,36658,3,Global Enterprises Ltd,6,81,6e569af9-5ee1-459a-ae79-bd66418421cd,6598.44,43256.44,ccb1f7b5-4737-4553-b4d3-209327f5413a,Invoice,Normal,0.0,0
75,Receipt,2026-04-13 03:21:25.350941,2026-04-13 03:21:25.350941,45477,4,Apex Solutions Pvt Ltd,80,70,9c3c29c4-7ed4-4567-872c-61fa34ca9bbd,8185.86,53662.86,088dcdb2-c99d-4bb5-8761-c885620547a3,Contract,Normal,0.0,0
76,Payment,2026-02-07 00:43:42.046809,2026-02-07 00:43:42.046809,49744,4,Om Sai Traders Ltd,26,72,e7076343-9d44-48c8-a6d4-edd952afbbc9,8953.92,58697.92,bce9e7c7-e550-45d6-94e4-ac14498416cd,Contract,Normal,0.0,0
77,Journal,2026-04-01 16:15:27.664103,2026-04-01 16:15:27.664103,432345,4,Green Logistics Ltd,66,5,1f2c29dc-1f84-49b7-acbd-6c4e414c8e24,77822.1,510167.1,dbd33ab9-4a4f-48f1-a059-c69d7660cf73,Contract,"Rounded Amount,High Value",2.26,1
78,Journal,2026-03-23 02:02:25.693455,2026-03-23 02:02:25.693455,42234,4,Shree Solutions Pvt Ltd,22,56,d8da7d30-d49d-4799-a744-b8b222dc1daf,7602.12,49836.12,784e828e-381a-463a-a270-deb96d270685,None,Missing Doc,1.3,0
79,Journal,2026-01-08 06:12:37.760444,2026-01-08 06:12:37.760444,16721,1,Green Solutions Pvt Ltd,45,81,de4a5551-16c6-4cc7-8984-dcd96faef65b,3009.78,19730.78,6bc7974d-8343-481d-9868-38526a6727cf,Invoice,Normal,0.0,0
80,Journal,2026-01-17 05:55:14.270024,2026-01-17 05:55:14.270024,17038,1,Global Solutions Pvt Ltd,17,99,496dcdb6-fb58-405a-be62-78f9091e795d,3066.84,20104.84,e7aacf0e-988d-4080-9d13-c1bc3d22c157,Contract,Normal,0.0,0
81,Journal,2026-02-19 11:53:13.648259,2026-02-19 11:53:13.648259,8000,8,Green Enterprises Ltd,19,51,4db0cc16-753a-4261-a198-b492a39b3851,1440.0,9440.0,3bf68838-97f1-42b1-bbaf-5f8d2cb7abff,Invoice,Rounded Amount,1.38,0
82,Journal,2026-01-29 19:46:42.290531,2026-01-29 19:46:42.290531,3000,3,Green Logistics Pvt Ltd,52,84,e49d483b-650d-4e42-a498-72e2bcf27fe6,540.0,3540.0,cc3669bb-ffab-41a8-ad55-f2078e6849a1,Contract,Rounded Amount,1.48,0
83,Receipt,2026-01-26 06:16:46.164521,2026-01-26 06:16:46.164521,44391,4,Om Sai Logistics Pvt LTD,40,27,c994ddad-e34f-4caf-b808-965d163216d5,7990.38,52381.38,092c1f35-4fb2-4c53-8a2d-e1a98f349022,None,"Missing Doc,Name Variation",2.34,1
84,Journal,2026-03-19 05:34:25.236850,2026-03-19 05:34:25.236850,44589,4,Global Solutions LLP,54,46,82bab5d9-0707-44e4-890f-a5a27eeed1c5,8026.02,52615.020000000004,4db34be4-ddb9-45dd-aa5c-7504531505b6,Invoice,Name Variation,1.03,0
85,Journal,2026-04-15 10:21:23.560237,2026-04-15 10:21:23.560237,25000,2,Apex Enterprises Ltd,17,67,b11f4850-5469-4431-bb94-ef6b43a8f82f,4500.0,29500.0,3d462cf4-aa7c-4b34-a3db-ab8a817afe88,None,"Rounded Amount,Missing Doc",2.45,1
86,Receipt,2026-02-05 15:29:28.439601,2026-02-05 15:29:28.439601,44972,4,Global Tech LLP,39,10,eb16dbe0-c1f8-4fa0-994a-a7717d42c62f,6751.745461038069,51723.74546103807,eb7029d7-b859-4e9b-8d61-912fd41cec19,Invoice,Tax Mismatch,1.48,0
87,Journal,2026-02-05 03:24:14.317079,2026-02-05 03:24:14.317079,4302,4,Shree Solutions Pvt LTD,66,74,0e56764f-489f-48b7-86dc-66b2bba59abe,774.36,5076.36,2932d073-a8c2-4fae-9b2e-78288fbbab70,Invoice,Name Variation,1.03,0
88,Receipt,2026-02-22 10:40:50.987067,2026-02-22 10:40:50.987067,48711,4,Om Sai Logistics LTD,93,88,68c1d6cd-92fb-4456-85a3-67c83216aae9,8767.98,57478.979999999996,aa27243e-9c72-4b36-a3d5-e22bc5d62e90,None,"Missing Doc,Name Variation",1.78,1
89,Receipt,2026-03-02 20:44:00.693205,2026-03-02 20:44:00.693205,43870,4,Om Sai Logistics Pvt LTD,3,69,298d9d17-4908-4b1f-b9a4-f7b428f824ee,7896.6,51766.6,bbacb919-f49a-4664-a4f2-572e473fc20d,Invoice,Name Variation,1.26,0
90,Journal,2026-03-11 10:25:43.961062,2026-03-11 10:25:43.961062,38505,3,Om Sai Logistics Pvt Ltd,50,55,79a79bae-c7fb-4bba-a029-f640e0739c0c,6930.9,45435.9,785af670-f88a-482e-9ab0-380a56910b16,Invoice,Normal,0.0,0
91,Payment,2026-03-16 20:17:23.707853,2026-03-16 20:17:23.707853,17716,1,Green Traders Ltd,0,71,183d7a4a-fa09-4dc2-871b-3fa8d13f0041,3188.88,20904.88,89da7a0f-629e-467a-9235-b4c104fce51b,None,Missing Doc,1.12,0
92,Receipt,2026-04-09 17:15:01.278481,2026-04-09 17:15:01.278481,30227,3,Shree Solutions Pvt Ltd,3,30,79cbd87d-4149-4351-abd5-cea1b26b6dc3,5440.86,35667.86,0cd5b40d-6789-45a9-81b3-1f4608c7b9e4,None,Missing Doc,1.18,0
93,Receipt,2026-02-22 22:34:44.054832,2026-02-22 22:34:44.054832,40000,4,Green Enterprises LTD,35,7,c6d9639d-c81d-495e-8b9e-19973b35e713,7200.0,47200.0,cc7d85b8-a188-411c-8808-4e7c40f506b9,None,"Rounded Amount,Missing Doc",2.55,1
94,Payment,2026-01-16 00:18:22.728887,2026-01-16 03:18:22.728887,383252,3,Green Logistics Pvt LTD,51,85,477bd4b4-1f92-484c-a60c-9303290a6ace,53475.81420806935,436727.81420806935,42f9f31c-52be-4d32-a565-ee960ef8b1ec,Invoice,"High Value,Odd Timing,Name Variation,Tax Mismatch",3.51,1
95,Receipt,2026-01-08 12:00:42.439454,2026-01-08 12:00:42.439454,31562,3,Shree Logistics LLP,75,99,7c643e15-af5c-45b0-807e-3cd777e6833c,5681.16,37243.16,13c77e71-4ad0-4de1-8b56-34ea324c3e06,Contract,Normal,0.0,0
96,Receipt,2026-01-25 12:01:01.114031,2026-01-25 12:01:01.114031,33000,3,Green Logistics Pvt Ltd,12,29,210fbf35-1e23-45e9-be57-7d1d9e579cfd,5940.0,38940.0,18aae20e-2f57-4a54-98d7-71f8fab7efc8,None,"Rounded Amount,Missing Doc",2.55,1
97,Journal,2026-01-21 17:03:53.086535,2026-01-23 17:03:53.086535,14882,1,BlueStar Traders Ltd,23,13,4383dc75-86ca-4c1a-b953-671302217894,2678.76,17560.760000000002,c27ee992-e8fd-4a0a-82ed-e5454060242c,Contract,Backdated,1.09,0
